,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,
13,99.7059-2,113.187-2,143.137-2,81.6947-2,141.421-6,157.437-2,137.154-6,141.421-2,88.2448-2,100-6,42.569-6,100-4,0-0,193.755-2,182.885-2,193.617-2,146.042-2,176.115-6,177.517-6,167.816-2,151.284-2,173.205-2,101.886-6,120.471-6,146.289-4,141.421-4,56.3873-4,100-8,248.833-2,243.092-2,213.788-2,238.04-6,212.533-2,217.402-2,164.162-2,196.106-2,176.213-2,189.809-6,195.981-4,142.083-4,
14,104.917-7,98.4993-8,110.205-8,141.421-8,136.05-8,78.5234-5,162.492-5,81.6947-7,117.563-7,151.284-7,184.55-7,146.042-7,193.755-7,0-0,75.3893-6,67.0069-6,100-8,171.656-6,157.25-6,54.9157-3,100-8,47.9262-8,182.988-8,179.952-8,144.597-3,130.197-8,170-7,182.11-8,100-8,130.204-6,141.421-8,201.83-6,75.144-4,141.421-8,116.784-8,144.816-8,173.205-8,211.551-8,153.425-4,177.57-8,
15,84.385-7,100-8,124.601-4,133.726-7,84.6441-8,69.5296-3,106.253-7,101.886-3,135.908-3,113.187-7,157.88-7,176.115-3,182.885-7,75.3893-3,0-0,43.4614-4,43.6029-7,100-8,91.3466-8,113.628-3,147.19-3,68.8061-4,141.421-8,148.259-8,191.795-3,159.28-4,176.053-7,166.734-8,120.059-4,100-8,103.11-8,141.421-8,119.469-4,174.343-4,92.099-8,141.421-8,163.135-8,173.205-8,195.312-4,179.878-8,
16,101.391-7,90.8423-7,100-8,128.83-7,88.2448-7,100-7,141.421-7,120.471-3,141.421-7,143.137-7,173.205-7,177.517-3,193.617-7,67.0069-3,43.4614-5,0-0,65.2094-7,124.232-5,100-8,111.92-3,129.749-3,42.569-3,147.638-7,141.421-8,181.007-3,137.154-3,174.693-7,157.437-7,78.5234-4,69.5296-6,76.9953-8,135.569-6,82.6613-4,136.054-4,67.7276-8,105.82-8,135.178-8,157.297-8,164.531-4,157.558-8,
17,54.9157-3,76.94-4,109.121-4,100-8,47.9262-8,76.9953-1,78.5234-5,102.281-3,116.548-3,81.6947-7,117.563-7,158.479-3,146.042-7,100-4,43.6029-2,65.2094-2,0-0,75.3893-6,67.0069-6,122.572-3,141.421-4,78.0015-4,98.4993-8,110.205-8,181.429-3,144.009-4,144.597-3,130.197-8,141.421-4,114.764-2,100-8,130.204-6,132.871-4,173.205-4,75.144-4,131.108-4,141.421-8,144.816-8,188.54-4,153.425-4,
18,113.628-3,141.421-4,170.5-4,147.19-3,68.8061-4,135.569-3,69.5296-3,167.184-3,178.929-3,101.886-3,135.908-3,220.423-3,176.115-3,171.656-3,100-4,124.232-4,75.3893-3,0-0,43.4614-4,196.728-3,213.184-3,149.345-4,100-8,124.601-4,250.152-3,207.219-4,191.795-3,159.28-4,195.439-4,141.421-4,120.059-4,100-8,200.158-4,232.761-4,119.469-4,173.205-4,174.343-4,141.421-8,252.858-4,195.312-4,
19,111.92-3,121.275-3,141.421-4,129.749-3,42.569-3,141.421-3,100-7,168.932-3,173.205-3,120.471-3,141.421-7,213.395-3,177.517-3,157.25-3,91.3466-1,100-4,67.0069-3,43.4614-5,0-0,186.472-3,192.542-3,125.845-3,90.8423-7,100-8,234.541-3,181.208-3,181.007-3,137.154-3,162.492-4,106.253-2,78.5234-4,69.5296-6,170.525-4,196.846-4,82.6613-4,132.865-4,136.054-4,105.82-8,222.073-4,164.531-4,
20,100-8,95.065-8,110.854-8,130.887-8,156.181-6,82.6613-5,170.525-5,56.3873-5,81.2124-7,146.289-5,169.827-7,99.7059-7,167.816-7,54.9157-6,113.628-6,111.92-6,122.572-6,196.728-6,186.472-6,0-0,71.5763-8,78.5593-6,186.622-8,185.834-8,100-8,113.725-8,141.421-8,176.505-8,142.776-6,177.623-6,179.981-6,239.459-6,100-8,149.974-8,141.421-8,166.361-8,185.743-8,231.228-8,141.421-8,173.205-8,
21,114.521-5,75.3893-6,67.0069-6,100-8,154.452-6,136.054-5,196.846-5,109.635-5,78.5234-5,168.025-5,162.492-5,81.6947-7,151.284-7,100-6,147.19-6,129.749-6,141.421-6,213.184-6,192.542-6,71.5763-1,0-0,87.4221-6,171.656-6,157.25-6,54.9157-3,47.9262-8,104.917-7,136.05-8,141.421-6,181.479-6,173.205-6,238.153-6,88.0571-2,100-8,125.482-6,130.204-6,141.421-8,201.83-6,75.144-4,116.784-8,
22,89.1665-7,64.0198-7,69.3754-8,106.911-7,100-8,95.4517-5,152.105-5,100-7,110.054-7,141.421-7,161.669-7,141.421-7,173.205-7,47.9262-1,68.8061-5,42.569-6,78.0015-5,149.345-5,125.845-6,78.5593-3,87.4221-3,0-0,147.201-7,137.251-8,139.319-3,100-8,145.564-7,141.421-8,81.6947-2,101.886-6,102.281-6,167.184-6,56.3873-4,109.635-4,70.4175-8,98.7173-8,125.726-8,165.272-8,128.132-4,134.896-8,
